                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9054,                 2.4958,                 1.2609,                0.01109,                0.00994,                0.00105,                0.00043,                    nan,                    nan,                    nan,             0.00066133,             0.00066133,             0.00066133
                      2,                 2.3322,                 2.5043,                 1.4665,                0.01544,                0.17324,                0.00635,                0.00253,                    nan,                    nan,                    nan,              0.0012842,              0.0012842,              0.0012842
                      3,                 2.3468,                 2.4548,                 1.4777,                0.18902,                0.15303,                0.06914,                0.02752,                 2.4102,                 2.5463,                 1.5392,               0.001863,               0.001863,               0.001863
                      4,                 2.3082,                 2.4164,                 1.4574,                0.18898,                0.15104,                0.07368,                0.03242,                 2.2799,                 2.9163,                 1.4944,               0.001802,               0.001802,               0.001802
                      5,                 2.2137,                 2.3311,                  1.398,                0.20169,                0.15966,                0.08077,                0.03558,                 2.2179,                 2.5104,                 1.4384,               0.001736,               0.001736,               0.001736
                      6,                 2.1574,                  2.237,                 1.4027,                0.22091,                0.17688,                0.09497,                0.04276,                 2.1574,                 2.2234,                 1.3973,                0.00167,                0.00167,                0.00167
                      7,                 2.1462,                 2.2414,                 1.3749,                0.21703,                0.20172,                0.10048,                0.04576,                 2.0909,                 2.3313,                  1.353,               0.001604,               0.001604,               0.001604
                      8,                 2.0622,                 2.1338,                 1.3271,                0.22629,                0.17191,                0.09493,                0.04502,                 2.1078,                 2.2037,                  1.353,               0.001538,               0.001538,               0.001538
                      9,                 1.9868,                 2.0763,                 1.2836,                0.24905,                0.18939,                0.11563,                0.05455,                 2.0257,                 2.0965,                 1.3342,               0.001472,               0.001472,               0.001472
                     10,                 1.9976,                 2.0709,                 1.2895,                0.25571,                0.20338,                0.12168,                0.05977,                 1.9899,                 2.0694,                 1.3136,               0.001406,               0.001406,               0.001406
                     11,                 1.9569,                 2.0202,                 1.2719,                0.28048,                0.21365,                0.13106,                0.06544,                 1.9293,                  2.033,                 1.2953,                0.00134,                0.00134,                0.00134
                     12,                 1.9193,                 1.9439,                 1.2509,                0.26235,                0.20437,                0.13018,                0.06136,                 1.9906,                 2.0374,                 1.2872,               0.001274,               0.001274,               0.001274
                     13,                 1.9019,                 1.9174,                 1.2486,                0.29943,                0.21431,                 0.1446,                0.06938,                 1.9209,                 1.9911,                  1.269,               0.001208,               0.001208,               0.001208
                     14,                 1.8697,                 1.9206,                 1.2419,                 0.2667,                0.23153,                0.14414,                0.07084,                 1.8693,                 1.9468,                 1.2649,               0.001142,               0.001142,               0.001142
                     15,                  1.855,                 1.8895,                 1.2338,                 0.2941,                 0.2057,                0.14614,                0.07233,                 1.9087,                 1.9657,                 1.2783,               0.001076,               0.001076,               0.001076
                     16,                 1.8254,                 1.8351,                 1.2307,                0.29891,                0.24611,                0.15971,                0.07755,                 1.8637,                  1.891,                 1.2602,                0.00101,                0.00101,                0.00101
                     17,                 1.7847,                 1.8086,                  1.211,                0.31521,                0.21147,                 0.1519,                0.07451,                 1.8712,                 1.9082,                 1.2643,               0.000944,               0.000944,               0.000944
                     18,                 1.7948,                 1.8069,                 1.2047,                0.28334,                0.22983,                 0.1591,                0.07915,                 1.8333,                 1.8827,                 1.2452,               0.000878,               0.000878,               0.000878
                     19,                 1.7295,                 1.7407,                 1.1891,                0.30096,                0.23319,                0.16659,                0.08339,                 1.7954,                 1.8516,                 1.2209,               0.000812,               0.000812,               0.000812
                     20,                 1.7086,                 1.6907,                 1.1729,                0.31426,                0.24644,                0.17511,                0.08772,                 1.7916,                 1.8022,                 1.2358,               0.000746,               0.000746,               0.000746
                     21,                 1.7044,                 1.7321,                 1.1837,                0.31232,                0.23385,                0.17354,                0.08993,                 1.8123,                 1.7992,                 1.2452,                0.00068,                0.00068,                0.00068
                     22,                 1.6747,                 1.6871,                 1.1738,                0.32842,                0.24412,                0.18025,                0.09209,                 1.7708,                 1.8449,                 1.2227,               0.000614,               0.000614,               0.000614
                     23,                 1.6555,                 1.6936,                 1.1675,                0.31607,                0.24339,                0.17573,                0.09297,                 1.7738,                 1.8129,                 1.2113,               0.000548,               0.000548,               0.000548
                     24,                 1.6494,                  1.657,                 1.1688,                0.32489,                 0.2471,                0.18053,                 0.0922,                 1.7502,                 1.7835,                 1.2155,               0.000482,               0.000482,               0.000482
                     25,                 1.6173,                 1.6124,                 1.1462,                0.32216,                0.24876,                0.18622,                0.09492,                 1.7607,                   1.77,                 1.2149,               0.000416,               0.000416,               0.000416
                     26,                  1.622,                 1.6056,                 1.1472,                 0.3188,                0.25704,                0.18895,                0.09752,                 1.7261,                 1.7601,                 1.2121,                0.00035,                0.00035,                0.00035
                     27,                 1.5905,                 1.5838,                 1.1432,                0.34727,                 0.2471,                0.18676,                 0.0965,                 1.7434,                 1.7721,                 1.2187,               0.000284,               0.000284,               0.000284
                     28,                 1.5386,                 1.5045,                 1.1177,                0.35933,                0.25075,                0.20199,                0.10475,                  1.699,                  1.701,                 1.2008,               0.000218,               0.000218,               0.000218
                     29,                 1.5152,                 1.4602,                  1.111,                 0.3602,                 0.2481,                 0.1995,                0.10564,                 1.6867,                 1.6981,                 1.1953,               0.000152,               0.000152,               0.000152
                     30,                 1.5099,                 1.4644,                 1.1093,                0.36123,                0.25075,                0.20339,                0.10741,                 1.6855,                 1.6879,                  1.197,                8.6e-05,                8.6e-05,                8.6e-05
