                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.017,                 2.8334,                 1.2951,                0.13717,                0.10666,                0.03574,                0.01441,                 2.4716,                 3.4655,                 1.6592,             0.00066133,             0.00066133,             0.00066133
                      2,                  2.615,                 2.8391,                 1.5811,                0.00144,                0.07155,                0.00079,                0.00031,                 3.4871,                    inf,                 4.6567,              0.0012842,              0.0012842,              0.0012842
                      3,                 2.6442,                 2.8408,                 1.5803,                0.10686,                0.12189,                0.03619,                0.01393,                 2.6579,                 3.8243,                  1.633,               0.001863,               0.001863,               0.001863
                      4,                 2.6296,                  2.814,                 1.5907,                0.08782,                 0.1262,                0.02772,                0.01089,                 2.5061,                 5.0057,                 1.5806,               0.001802,               0.001802,               0.001802
                      5,                 2.5511,                 2.7609,                 1.5054,                0.17303,                0.12951,                0.05535,                0.02298,                 2.4391,                 2.9276,                 1.4922,               0.001736,               0.001736,               0.001736
                      6,                 2.4475,                 2.6023,                 1.4996,                0.16671,                0.14177,                0.06251,                0.02586,                 2.4323,                 2.9001,                 1.4733,                0.00167,                0.00167,                0.00167
                      7,                 2.4064,                 2.5944,                  1.437,                0.14095,                0.12388,                0.04785,                0.02049,                 2.3566,                 2.5445,                 1.4429,               0.001604,               0.001604,               0.001604
                      8,                 2.2897,                 2.4432,                 1.3999,                0.19419,                0.16297,                0.07581,                0.03374,                 2.2288,                 2.5327,                 1.4211,               0.001538,               0.001538,               0.001538
                      9,                 2.2389,                 2.3566,                 1.4122,                0.18327,                0.15535,                0.07802,                0.03687,                 2.2017,                 2.3843,                 1.4059,               0.001472,               0.001472,               0.001472
                     10,                 2.2376,                 2.3801,                 1.3796,                0.20173,                0.15634,                0.08305,                0.03939,                 2.1187,                 2.2931,                 1.3659,               0.001406,               0.001406,               0.001406
                     11,                 2.2308,                 2.3507,                 1.3897,                0.21112,                0.15999,                0.08475,                0.03905,                 2.1967,                  2.295,                 1.3957,                0.00134,                0.00134,                0.00134
                     12,                 2.1499,                 2.2797,                  1.365,                0.23846,                0.18052,                0.10125,                0.04339,                 2.1524,                 2.2473,                 1.3634,               0.001274,               0.001274,               0.001274
                     13,                 2.1549,                 2.2424,                 1.3507,                0.24688,                0.18185,                0.11018,                0.05107,                 2.0778,                 2.1527,                 1.3305,               0.001208,               0.001208,               0.001208
                     14,                 2.0886,                 2.1998,                 1.3283,                0.23804,                0.21265,                0.11962,                0.05496,                   2.03,                 2.1293,                 1.3112,               0.001142,               0.001142,               0.001142
                     15,                 2.0926,                 2.2092,                 1.3301,                0.21616,                0.18549,                0.09872,                0.04644,                 2.0611,                 2.2356,                 1.3289,               0.001076,               0.001076,               0.001076
                     16,                 2.0322,                 2.1542,                 1.3122,                0.25881,                0.19998,                0.12212,                0.05681,                 2.0367,                 2.1083,                   1.32,                0.00101,                0.00101,                0.00101
                     17,                 1.9968,                 2.1269,                 1.2967,                0.25563,                0.21199,                0.13555,                0.06267,                  1.941,                 2.0075,                 1.2793,               0.000944,               0.000944,               0.000944
                     18,                  2.065,                 2.1281,                 1.3101,                0.25723,                0.21067,                0.12819,                0.06012,                 1.9484,                 2.0659,                 1.2744,               0.000878,               0.000878,               0.000878
                     19,                 1.9798,                 2.0699,                 1.2846,                0.27775,                0.21895,                0.14163,                0.06845,                 1.9321,                 1.9694,                 1.2715,               0.000812,               0.000812,               0.000812
                     20,                 1.9474,                 2.0318,                 1.2668,                0.27355,                0.21199,                0.14011,                0.06799,                 1.9255,                 2.0016,                 1.2677,               0.000746,               0.000746,               0.000746
                     21,                 1.9374,                 2.0541,                 1.2844,                0.28631,                 0.2206,                0.15008,                0.07238,                  1.909,                 1.9635,                 1.2621,                0.00068,                0.00068,                0.00068
                     22,                 1.8822,                 2.0071,                 1.2522,                 0.2904,                0.22193,                0.14993,                0.07194,                   1.91,                  1.967,                 1.2589,               0.000614,               0.000614,               0.000614
                     23,                 1.8739,                 2.0092,                 1.2487,                 0.2893,                0.22093,                0.14887,                 0.0711,                 1.9029,                 1.9971,                 1.2525,               0.000548,               0.000548,               0.000548
                     24,                 1.8322,                  1.977,                 1.2572,                0.30777,                0.22491,                0.15519,                0.07564,                 1.8689,                 1.9219,                 1.2468,               0.000482,               0.000482,               0.000482
                     25,                  1.817,                 1.9478,                 1.2387,                0.29873,                0.22623,                0.15928,                0.07837,                 1.8765,                 1.9187,                 1.2457,               0.000416,               0.000416,               0.000416
                     26,                 1.8312,                 1.9311,                 1.2437,                0.30542,                0.23756,                0.16437,                0.08223,                 1.8328,                 1.8755,                 1.2372,                0.00035,                0.00035,                0.00035
                     27,                 1.7913,                 1.9035,                 1.2314,                0.31512,                0.23915,                0.16926,                0.08511,                 1.8322,                 1.8775,                 1.2284,               0.000284,               0.000284,               0.000284
                     28,                 1.7624,                 1.8255,                 1.2307,                0.31501,                0.23816,                0.16872,                0.08571,                 1.8028,                 1.8553,                 1.2257,               0.000218,               0.000218,               0.000218
                     29,                 1.7364,                 1.7879,                 1.2104,                 0.3292,                0.23352,                0.17175,                 0.0879,                 1.7984,                 1.8228,                 1.2126,               0.000152,               0.000152,               0.000152
                     30,                 1.7266,                 1.7953,                  1.207,                 0.3419,                0.23403,                0.17654,                 0.0892,                 1.7851,                 1.8209,                 1.2122,                8.6e-05,                8.6e-05,                8.6e-05
