                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9372,                 3.1508,                 1.2001,                0.20661,                0.16794,                0.07887,                0.03589,                 2.0146,                 2.4066,                 1.2817,             0.00066133,             0.00066133,             0.00066133
                      2,                 2.1333,                 2.3255,                 1.2901,                0.17459,                0.14409,                0.06546,                0.02878,                 2.3423,                 2.6208,                 1.4415,              0.0012842,              0.0012842,              0.0012842
                      3,                 2.1908,                 2.3273,                 1.3359,                0.12078,                0.10865,                0.03042,                0.01199,                 2.4547,                 2.9598,                 1.4262,               0.001863,               0.001863,               0.001863
                      4,                 2.2256,                 2.3224,                 1.3132,                0.21579,                0.17191,                 0.0937,                0.04213,                 2.1847,                 2.2418,                 1.3431,               0.001802,               0.001802,               0.001802
                      5,                 2.1643,                 2.2656,                 1.3131,                  0.204,                0.16528,                0.08659,                0.03962,                 2.1219,                 2.3073,                 1.3651,               0.001802,               0.001802,               0.001802
                      6,                 2.0731,                 2.2142,                 1.2803,                0.24746,                0.20073,                0.12206,                0.05618,                 2.0657,                 2.1831,                 1.2866,               0.001736,               0.001736,               0.001736
                      7,                 2.0349,                 2.1038,                  1.256,                0.24605,                0.19934,                 0.1138,                0.05333,                 2.0492,                 2.2832,                 1.2918,                0.00167,                0.00167,                0.00167
                      8,                  2.001,                 2.1018,                 1.2503,                0.21939,                0.19112,                0.10913,                0.05193,                 1.9853,                 2.2227,                 1.2754,               0.001604,               0.001604,               0.001604
                      9,                 1.9885,                 2.0844,                 1.2281,                0.26784,                0.18682,                0.12259,                0.05639,                 1.9891,                  2.061,                  1.259,               0.001538,               0.001538,               0.001538
                     10,                 1.9669,                 2.0336,                 1.2009,                0.26291,                0.20007,                0.12403,                0.05879,                 1.9949,                 2.1047,                 1.2296,               0.001472,               0.001472,               0.001472
                     11,                 1.9671,                 2.0376,                 1.2167,                0.27477,                0.20404,                0.12942,                0.06005,                 1.9639,                  2.067,                 1.2419,               0.001406,               0.001406,               0.001406
                     12,                  1.939,                 1.9756,                 1.2125,                 0.2801,                0.20636,                  0.138,                0.06495,                 1.9405,                 2.0098,                 1.2492,                0.00134,                0.00134,                0.00134
                     13,                 1.8995,                  1.953,                 1.1992,                0.28426,                0.21398,                0.14039,                0.06876,                 1.8978,                 1.9782,                 1.2145,               0.001274,               0.001274,               0.001274
                     14,                 1.8626,                 1.9072,                 1.1715,                 0.2832,                 0.2057,                0.14058,                0.06915,                 1.8775,                 1.9949,                 1.2124,               0.001208,               0.001208,               0.001208
                     15,                 1.8631,                 1.8983,                 1.1797,                0.28294,                0.22524,                0.15015,                0.07684,                 1.8897,                 1.9382,                 1.2127,               0.001142,               0.001142,               0.001142
                     16,                 1.8139,                 1.8455,                 1.1636,                0.29276,                0.21828,                0.14954,                0.07417,                 1.8557,                 1.9791,                 1.2129,               0.001076,               0.001076,               0.001076
                     17,                  1.821,                 1.8353,                 1.1517,                0.28955,                0.22358,                0.15586,                 0.0787,                 1.8559,                 1.9137,                 1.2012,                0.00101,                0.00101,                0.00101
                     18,                 1.7749,                 1.7917,                 1.1514,                 0.3054,                0.23319,                0.16785,                0.08552,                 1.8049,                 1.8612,                 1.1906,               0.000944,               0.000944,               0.000944
                     19,                   1.74,                  1.766,                  1.133,                 0.3073,                0.23087,                0.15833,                0.07823,                 1.8274,                 1.8852,                 1.1813,               0.000878,               0.000878,               0.000878
                     20,                 1.7375,                 1.7511,                 1.1196,                0.32336,                0.22027,                0.17158,                0.08678,                 1.8401,                 1.9433,                 1.1998,               0.000812,               0.000812,               0.000812
                     21,                 1.7435,                 1.7447,                 1.1354,                0.29734,                0.23485,                0.16487,                0.08296,                 1.8529,                 1.8989,                 1.1945,               0.000746,               0.000746,               0.000746
                     22,                 1.7296,                 1.7286,                 1.1287,                0.31077,                0.22657,                 0.1638,                0.08316,                 1.8346,                 1.8893,                  1.182,                0.00068,                0.00068,                0.00068
                     23,                 1.7025,                 1.6948,                 1.1154,                0.31463,                 0.2269,                 0.1679,                 0.0866,                 1.8122,                  1.845,                 1.1849,               0.000614,               0.000614,               0.000614
                     24,                 1.6875,                 1.6723,                 1.1098,                0.30754,                 0.2312,                0.16893,                0.08664,                 1.7899,                 1.8241,                 1.1799,               0.000548,               0.000548,               0.000548
                     25,                  1.672,                 1.6358,                 1.1152,                0.32685,                0.23546,                0.17639,                0.09135,                 1.8077,                 1.8244,                 1.1868,               0.000482,               0.000482,               0.000482
                     26,                 1.6421,                 1.6074,                 1.0928,                0.32593,                0.23286,                0.17072,                0.08788,                 1.8107,                 1.8304,                 1.1822,               0.000416,               0.000416,               0.000416
                     27,                 1.6271,                 1.5904,                 1.1011,                0.33841,                0.23186,                0.17639,                0.09206,                 1.7899,                 1.7977,                 1.1888,                0.00035,                0.00035,                0.00035
                     28,                    1.6,                 1.5287,                  1.082,                0.33257,                0.24346,                0.18197,                0.09348,                 1.7741,                 1.7935,                 1.1786,               0.000284,               0.000284,               0.000284
                     29,                 1.5816,                 1.5201,                 1.0734,                0.33597,                0.23948,                0.17958,                0.09177,                 1.7703,                 1.7992,                 1.1752,               0.000218,               0.000218,               0.000218
                     30,                  1.562,                 1.4977,                  1.065,                0.32969,                0.23683,                0.17854,                0.09236,                 1.7636,                 1.8033,                 1.1767,               0.000152,               0.000152,               0.000152
